"","X","Y","religion"
"555",35.088539,31.4487328,"muslim"
"556",35.2654043,31.7784965,"christian"
"557",35.2322051,31.8541515,"muslim"
"558",35.0179372,32.0269688,"muslim"
"559",35.2780983,31.7649831,"muslim"
"560",35.1542052,31.8384687,"muslim"
"561",35.2051119,31.9697571,"muslim"
"562",35.2578809,31.9863239,"muslim"
"563",35.2890877,32.0303018,"muslim"
"564",35.2957,31.9645896,"muslim"
"565",35.107613,31.8261736,"muslim"
"566",35.1968047,31.9038738,"christian"
"567",35.1665562,32.0396882,"muslim"
"568",35.2443511,31.9554097,"muslim"
"569",35.2840054,31.9986469,"muslim"
"570",35.2057344,31.8505402,"muslim"
"571",35.2725564,31.7702801,"muslim"
"572",35.28061,31.741974,"muslim"
"573",35.1466924,31.8340685,"muslim"
"574",35.2080456,32.0046929,"muslim"
"575",35.1146447,31.8855827,"muslim"
"576",35.1681937,32.0490625,"muslim"
"577",35.2729273,32.0028572,"muslim"
"578",35.2895111,31.9701653,"muslim"
"579",35.2722957,32.0020383,"muslim"
"580",35.263212,31.8569444,"muslim"
"581",35.0663315,31.8699034,"muslim"
"582",35.07701,31.9454764,"muslim"
"583",35.1689919,31.8874493,"muslim"
"584",35.1804636,32.0225202,"muslim"
"585",35.2525551,31.7668925,"muslim"
"586",35.1693741,31.9630802,"muslim"
"587",35.1656402,32.008898,"muslim"
"588",35.1491151,31.8345792,"muslim"
"589",35.2972255,31.9357596,"muslim"
"590",35.0431228,31.8596699,"muslim"
"591",35.1741982,31.9886241,"muslim"
"592",35.2290027,31.9723102,"muslim"
"593",35.0981812,31.9667453,"muslim"
"594",35.0438547,31.8874389,"muslim"
"595",35.1806138,32.0246624,"muslim"
"596",35.1964492,31.8472,"muslim"
"597",35.3022997,31.9522693,"christian"
"598",35.2080289,31.863045,"muslim"
"599",35.1147794,31.9157805,"muslim"
"600",35.2386004,31.8530378,"muslim"
"601",35.2549171,31.7708592,"muslim"
"602",35.1497663,31.8234332,"muslim"
"603",35.3087462,31.9895985,"muslim"
"604",35.2305484,31.8517277,"muslim"
"605",35.0053327,31.9344238,"muslim"
"606",35.2597184,31.8131861,"muslim"
"607",35.1313614,32.0551721,"muslim"
"608",35.089935,31.8948342,"muslim"
"609",35.2572516,31.9864821,"muslim"
"610",35.2623159,31.8554347,"muslim"
"611",35.0834093,31.8974013,"muslim"
"612",35.0236924,31.9469812,"muslim"
"613",35.1815599,31.9519621,"muslim"
"614",35.0390175,31.9865856,"muslim"
"615",35.1671364,31.8871174,"muslim"
"616",35.2586583,31.7656578,"muslim"
"617",35.2699083,31.7562801,"muslim"
"618",35.0624782,31.8711932,"muslim"
"619",35.1481298,31.952544,"muslim"
"620",35.130642,31.8591954,"muslim"
"621",35.255789,31.7715212,"christian"
"622",35.1418046,31.9046502,"muslim"
"623",35.0215564,31.9475561,"muslim"
"624",35.1778104,32.0406404,"muslim"
"625",35.2562734,31.77161,"muslim"
"626",35.2152651,31.9628497,"christian"
"627",35.2712196,31.910257,"muslim"
"628",35.2708677,32.0052121,"muslim"
"629",35.1084861,31.831039,"muslim"
"630",35.2096385,31.8819517,"muslim"
"631",35.3056995,32.0086315,"muslim"
"632",35.1663071,31.9781826,"muslim"
"633",35.1940135,31.8941222,"muslim"
"634",35.2716062,31.7665831,"muslim"
"635",35.2220445,32.0313997,"muslim"
"636",35.1875255,31.9503177,"muslim"
"637",35.2641854,31.7629097,"muslim"
"638",35.2001699,31.8965609,"christian"
"639",35.2448378,31.9548095,"muslim"
"640",35.148909,31.8323234,"muslim"
"641",35.1272146,32.0568786,"muslim"
"642",35.2576055,31.775905,"muslim"
"643",35.2046237,31.9205322,"muslim"
"644",35.2607324,31.9881136,"muslim"
"645",35.2227143,32.0315244,"muslim"
"646",35.2397058,31.9307363,"muslim"
"647",35.1050912,31.9433919,"muslim"
"648",35.3003997,31.9538347,"christian"
"649",35.2427592,31.97652,"muslim"
"650",35.1126552,32.0024425,"muslim"
"651",35.169707,31.9630856,"muslim"
"652",35.0052672,31.936179,"muslim"
"653",35.2735658,32.0044143,"muslim"
"654",35.2367287,31.9246725,"muslim"
"655",35.1927297,31.870122,"muslim"
"656",35.3479369,32.0207653,"muslim"
"657",35.1967141,31.846921,"muslim"
"658",35.2252123,31.879488,"muslim"
"659",35.2076097,31.9041059,"muslim"
"660",35.0984323,31.9667503,"muslim"
"661",35.2164921,31.9025861,"muslim"
"662",35.1544023,31.9869796,"muslim"
"663",35.0215642,31.9456714,"muslim"
"664",35.3081042,31.988862,"muslim"
"665",35.1501425,31.824573,"muslim"
"666",35.2569567,31.7714772,"christian"
"667",35.0053839,31.9350136,"muslim"
"668",35.2555836,31.9005071,"muslim"
"669",35.1364723,31.8405907,"muslim"
"670",35.1692767,31.9045845,"muslim"
"671",35.0747273,31.8859375,"muslim"
"672",35.2211602,31.9280116,"muslim"
"673",35.04458,31.9491493,"muslim"
"674",35.1708525,32.0423953,"muslim"
"675",35.158775,31.9905661,"muslim"
"676",35.0559365,31.9080196,"muslim"
"677",35.2059898,32.0035391,"muslim"
"678",35.2002654,31.896773,"christian"
"679",35.0116808,31.9782297,"muslim"
"680",35.2081533,31.892721,"muslim"
"681",35.1679228,31.8882375,"muslim"
"682",35.036146,31.9863147,"muslim"
"683",35.0936509,31.9717574,"muslim"
"684",35.1812909,31.9150989,"muslim"
"685",35.2048748,31.8875287,"muslim"
"686",35.298725,31.9533671,"christian"
"687",35.2595468,31.9781227,"muslim"
"688",35.0391803,32.0345245,"muslim"
"689",35.1252389,32.0168932,"muslim"
"690",35.0118184,31.976839,"muslim"
"691",35.1712552,31.884204,"muslim"
"692",35.2543687,31.7709551,"christian"
"693",35.2225026,31.872433,"muslim"
"694",35.1852554,31.9498828,"muslim"
"695",35.2707232,31.9093915,"muslim"
"696",35.3045254,31.9861259,"muslim"
"697",35.1762631,31.8994429,"muslim"
